Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ABEV3,AMBEV S/A,ON,4344066764,16
ALPA4,ALPARGATAS,PN N1,187007704,1
AMAR3,LOJAS MARISA,ON NM,52529246,0
ANIM3,ANIMA,ON NM,40044039,0
ARZZ3,AREZZO CO,ON NM,44066233,0
BEEF3,MINERVA,ON NM,136456880,0
BKBR3,BK BRASIL,ON NM,225793788,1
BRFS3,BRF SA,ON NM,811416229,6
BTOW3,B2W DIGITAL,ON NM,192547092,2
CAML3,CAMIL,ON NM,151919527,0
CRFB3,CARREFOUR BR,ON NM,384888219,2
CVCB3,CVC BRASIL,ON NM,147421042,1
CYRE3,CYRELA REALT,ON NM,263583096,1
DIRR3,DIRECIONAL,ON NM,76763694,0
EVEN3,EVEN,ON NM,205280287,0
EZTC3,EZTEC,ON NM,68626741,1
FLRY3,FLEURY,ON NM,305082672,2
GFSA3,GAFISA,ON NM,67798040,0
GNDI3,INTERMEDICA,ON NM,364914616,4
GRND3,GRENDENE,ON NM,270820595,0
GUAR3,GUARARAPES,ON,60466584,0
HAPV3,HAPVIDA,ON NM,208726921,2
HGTX3,CIA HERING,ON NM,125486566,1
HYPE3,HYPERA,ON NM,407518048,3
JBSS3,JBS,ON NM,1620646499,10
KROT3,KROTON,ON NM,1498404420,3
LAME3,LOJAS AMERIC,ON N1,199174900,1
LAME4,LOJAS AMERIC,PN N1,688058339,3
LCAM3,LOCAMERICA,ON EJ NM,72709385,1
LEVE3,METAL LEVE,ON NM,38492519,0
LREN3,LOJAS RENNER,ON EJ NM,781384541,8
MDIA3,M.DIASBRANCO,ON NM,84751852,1
MEAL3,IMC S/A,ON NM,156768224,0
MGLU3,MAGAZ LUIZA,ON NM,554184304,4
MOVI3,MOVIDA,ON NM,132725200,0
MRFG3,MARFRIG,ON NM,386047807,1
MRVE3,MRV,ON NM,292910667,1
MYPK3,IOCHP-MAXION,ON NM,139973015,1
NATU3,NATURA,ON EB NM,350091602,2
ODPV3,ODONTOPREV,ON NM,263707679,1
PARD3,IHPARDINI,ON EJ NM,44851196,0
PCAR4,P.ACUCAR-CBD,PN N1,156396724,3
QUAL3,QUALICORP,ON NM,223809099,1
RADL3,RAIADROGASIL,ON NM,213553757,4
RENT3,LOCALIZA,ON NM,560843706,5
SEER3,SER EDUCA,ON NM,54338507,0
SLCE3,SLC AGRICOLA,ON NM,85085106,0
SMLS3,SMILES,ON NM,58842428,0
SMTO3,SAO MARTINHO,ON NM,147017773,1
TCSA3,TECNISA,ON NM,547783816,0
TEND3,TENDA,ON NM,99197204,1
VULC3,VULCABRAS,ON NM,74685291,0
VVAR3,VIAVAREJO,ON NM,1147404383,2
YDUQ3,YDUQS PART,ON NM,299667897,2
Quantidade Teórica Total, , ,20116732463,100
Redutor, , ,"105,856,599.74",